,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
75,1931,30,236,0,1,11,254,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,0.0,0.0,0,0,0,0,0,0,0,0,0,2
76,1931,232,154,3,2,14,249,53.0,1.0,5,1,3,1,4,4,0,6,1.2,39.0,3.0,13,3,5,5,13,23,-10,14,1.08,0
77,1931,166,8,1,1,45,177,22.0,8.0,27,7,10,10,30,38,-8,31,1.15,4.0,16.0,77,42,14,21,131,84,47,140,1.82,1
78,1931,148,78,1,1,45,156,8.0,10.0,50,27,12,11,86,48,38,93,1.86,2.0,18.0,106,66,20,20,224,121,103,218,2.06,1
79,1931,194,99,1,1,45,210,5.0,14.0,59,29,12,18,92,66,26,99,1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,1
80,1931,12,93,0,0,51,11,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,16.0,9.0,32,15,3,14,87,57,30,48,1.5,1
81,1931,148,19,2,4,45,19,8.0,10.0,50,27,12,11,86,48,38,93,1.86,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,2
82,1931,30,169,2,5,11,186,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,24.0,7.0,21,8,5,8,30,32,-2,29,1.38,2
83,1931,71,64,5,2,45,74,7.0,14.0,59,28,12,19,106,71,35,96,1.63,6.0,14.0,62,26,20,16,79,56,23,98,1.58,0
84,1931,12,177,5,0,45,11,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,0
85,1931,19,64,1,4,45,19,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,6.0,14.0,62,26,20,16,79,56,23,98,1.58,2
86,1931,101,177,3,0,45,108,3.0,18.0,83,45,21,17,128,77,51,156,1.88,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,0
87,1931,236,93,3,2,45,254,0.0,0.0,0,0,0,0,0,0,0,0,0,16.0,9.0,32,15,3,14,87,57,30,48,1.5,0
88,1931,77,12,0,6,45,82,2.0,18.0,106,66,20,20,224,121,103,218,2.06,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,2
89,1931,205,177,2,3,45,220,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,2
90,1931,159,56,1,3,67,59,45.0,3.0,8,2,3,3,7,8,-1,9,1.13,25.0,4.0,16,8,2,6,27,24,3,26,1.63,2
91,1931,66,115,1,0,45,122,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
92,1931,170,19,3,2,45,181,17.0,6.0,26,13,4,9,43,29,14,43,1.65,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,0
93,1931,122,67,1,4,45,69,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
94,1931,54,202,7,3,51,57,0.0,0.0,0,0,0,0,0,0,0,0,0,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,0
95,1931,55,146,0,2,45,59,25.0,4.0,16,8,2,6,27,24,3,26,1.63,8.0,10.0,50,27,12,11,86,48,38,93,1.86,2
96,1931,169,55,0,4,45,180,15.0,7.0,31,15,5,11,44,40,4,50,1.61,0.0,0.0,0,0,0,0,0,0,0,0,0,2
97,1931,12,202,2,0,45,11,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,0
98,1931,66,71,1,3,45,73,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
99,1931,204,78,0,0,45,219,10.0,11.0,46,16,13,17,74,69,5,61,1.33,2.0,18.0,106,66,20,20,224,121,103,218,2.06,1
100,1931,77,156,2,2,45,169,2.0,18.0,106,66,20,20,224,121,103,218,2.06,45.0,3.0,8,2,3,3,7,8,-1,9,1.13,1
101,1931,204,56,3,1,67,219,10.0,11.0,46,16,13,17,74,69,5,61,1.33,25.0,4.0,16,8,2,6,27,24,3,26,1.63,0
102,1931,236,169,2,4,11,254,0.0,0.0,0,0,0,0,0,0,0,0,0,24.0,7.0,21,8,5,8,30,32,-2,29,1.38,2
103,1931,122,115,2,5,45,122,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
104,1931,70,201,2,8,67,219,0.0,0.0,0,0,0,0,0,0,0,0,0,10.0,11.0,46,16,13,17,74,69,5,61,1.33,2
105,1931,166,8,1,1,27,7,22.0,8.0,27,7,10,10,30,38,-8,31,1.15,4.0,16.0,77,42,14,21,131,84,47,140,1.82,1
106,1931,66,201,1,3,45,219,0.0,0.0,0,0,0,0,0,0,0,0,0,10.0,11.0,46,16,13,17,74,69,5,61,1.33,2
107,1931,166,8,1,3,27,7,22.0,8.0,27,7,10,10,30,38,-8,31,1.15,4.0,16.0,77,42,14,21,131,84,47,140,1.82,2
108,1931,116,201,0,6,45,219,0.0,0.0,0,0,0,0,0,0,0,0,0,10.0,11.0,46,16,13,17,74,69,5,61,1.33,2
109,1931,236,55,2,1,45,254,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
110,1931,116,71,0,4,45,73,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
111,1931,169,169,2,3,45,180,15.0,7.0,31,15,5,11,44,40,4,50,1.61,24.0,7.0,21,8,5,8,30,32,-2,29,1.38,2
112,1931,122,169,2,4,45,128,0.0,0.0,0,0,0,0,0,0,0,0,0,24.0,7.0,21,8,5,8,30,32,-2,29,1.38,2
113,1931,122,67,0,2,12,69,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
114,1931,122,115,0,1,12,69,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
115,1931,66,115,3,1,12,69,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
116,1931,27,223,2,0,35,28,1.0,20.0,104,70,17,17,221,102,119,227,2.18,9.0,12.0,51,20,12,19,80,71,9,72,1.41,0
117,1931,70,156,4,4,67,73,0.0,0.0,0,0,0,0,0,0,0,0,0,45.0,3.0,8,2,3,3,7,8,-1,9,1.13,1
118,1931,77,12,0,5,45,11,2.0,18.0,106,66,20,20,224,121,103,218,2.06,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,2
119,1931,157,177,1,3,14,194,39.0,3.0,13,3,5,5,13,23,-10,14,1.08,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,2
120,1931,93,55,3,0,45,99,16.0,9.0,32,15,3,14,87,57,30,48,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0
121,1931,30,215,5,1,11,32,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,34.0,2.0,10,5,1,4,20,17,3,16,1.6,0
122,1931,55,78,2,4,45,82,25.0,4.0,16,8,2,6,27,24,3,26,1.63,2.0,18.0,106,66,20,20,224,121,103,218,2.06,2
123,1931,66,115,1,2,45,122,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,2
124,1931,159,201,2,1,67,169,45.0,3.0,8,2,3,3,7,8,-1,9,1.13,10.0,11.0,46,16,13,17,74,69,5,61,1.33,0
125,1931,217,236,2,0,11,32,34.0,2.0,10,5,1,4,20,17,3,16,1.6,0.0,0.0,0,0,0,0,0,0,0,0,0,0
126,1931,30,236,3,2,11,32,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,0.0,0.0,0,0,0,0,0,0,0,0,0,0
127,1931,12,93,2,2,51,99,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,16.0,9.0,32,15,3,14,87,57,30,48,1.5,1
128,1931,19,165,2,1,45,19,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,15.0,7.0,31,15,5,11,44,40,4,50,1.61,0
129,1931,55,71,2,3,67,59,25.0,4.0,16,8,2,6,27,24,3,26,1.63,0.0,0.0,0,0,0,0,0,0,0,0,0,2
130,1931,108,220,2,1,45,115,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
131,1931,63,154,6,2,14,166,6.0,14.0,62,26,20,16,79,56,23,98,1.58,39.0,3.0,13,3,5,5,13,23,-10,14,1.08,0
132,1931,80,31,1,2,11,32,49.0,3.0,10,2,2,6,5,20,-15,8,0.8,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,2
133,1931,169,236,6,3,45,180,15.0,7.0,31,15,5,11,44,40,4,50,1.61,0.0,0.0,0,0,0,0,0,0,0,0,0,0
134,1931,181,231,3,2,14,249,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,53.0,1.0,5,1,3,1,4,4,0,6,1.2,0
135,1931,93,201,3,1,45,99,16.0,9.0,32,15,3,14,87,57,30,48,1.5,10.0,11.0,46,16,13,17,74,69,5,61,1.33,0
136,1931,101,55,2,2,51,108,3.0,18.0,83,45,21,17,128,77,51,156,1.88,0.0,0.0,0,0,0,0,0,0,0,0,0,1
137,1931,232,64,1,3,14,66,53.0,1.0,5,1,3,1,4,4,0,6,1.2,6.0,14.0,62,26,20,16,79,56,23,98,1.58,2
138,1931,71,146,3,4,45,74,7.0,14.0,59,28,12,19,106,71,35,96,1.63,8.0,10.0,50,27,12,11,86,48,38,93,1.86,2
139,1931,80,169,2,4,11,86,49.0,3.0,10,2,2,6,5,20,-15,8,0.8,24.0,7.0,21,8,5,8,30,32,-2,29,1.38,2
140,1931,12,202,8,1,51,220,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,0
141,1931,232,154,0,4,14,166,53.0,1.0,5,1,3,1,4,4,0,6,1.2,39.0,3.0,13,3,5,5,13,23,-10,14,1.08,2
142,1931,19,202,2,1,45,19,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,0
143,1931,63,190,7,1,45,66,6.0,14.0,62,26,20,16,79,56,23,98,1.58,5.0,14.0,59,29,12,18,92,66,26,99,1.68,0
144,1931,80,93,2,4,45,86,49.0,3.0,10,2,2,6,5,20,-15,8,0.8,16.0,9.0,32,15,3,14,87,57,30,48,1.5,2
145,1931,194,99,5,0,45,106,5.0,14.0,59,29,12,18,92,66,26,99,1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0
146,1931,101,93,3,2,51,108,3.0,18.0,83,45,21,17,128,77,51,156,1.88,16.0,9.0,32,15,3,14,87,57,30,48,1.5,0
147,1932,205,101,0,3,51,108,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,3.0,18.0,83,45,21,17,128,77,51,156,1.88,2
148,1932,61,93,0,0,45,64,65.0,2.0,4,0,2,2,3,6,-3,2,0.5,16.0,9.0,32,15,3,14,87,57,30,48,1.5,1
149,1932,77,202,2,0,45,82,2.0,18.0,106,66,20,20,224,121,103,218,2.06,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,0
150,1932,90,103,4,1,45,96,75.0,1.0,3,0,0,3,2,14,-12,0,0,60.0,1.0,3,1,0,2,3,9,-6,3,1,0
151,1932,101,12,1,2,51,11,3.0,18.0,83,45,21,17,128,77,51,156,1.88,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,2
152,1932,148,19,4,1,45,19,8.0,10.0,50,27,12,11,86,48,38,93,1.86,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,0
153,1932,93,55,3,1,45,57,16.0,9.0,32,15,3,14,87,57,30,48,1.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0
154,1932,90,103,0,1,45,96,75.0,1.0,3,0,0,3,2,14,-12,0,0,60.0,1.0,3,1,0,2,3,9,-6,3,1,2
155,1932,205,72,3,3,45,220,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,7.0,14.0,59,28,12,19,106,71,35,96,1.63,1
156,1932,57,131,1,0,45,61,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
157,1932,80,31,1,2,45,86,49.0,3.0,10,2,2,6,5,20,-15,8,0.8,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,2
158,1932,80,31,2,2,45,86,49.0,3.0,10,2,2,6,5,20,-15,8,0.8,33.0,7.0,26,3,8,15,22,53,-31,17,0.65,1
159,1932,181,64,0,3,14,66,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,6.0,14.0,62,26,20,16,79,56,23,98,1.58,2
160,1932,101,72,2,1,45,74,3.0,18.0,83,45,21,17,128,77,51,156,1.88,7.0,14.0,59,28,12,19,106,71,35,96,1.63,0
161,1932,89,213,1,0,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,67.0,1.0,3,0,1,2,0,4,-4,1,0.33,0
162,1932,17,213,1,0,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,67.0,1.0,3,0,1,2,0,4,-4,1,0.33,0
163,1932,148,19,2,1,45,156,8.0,10.0,50,27,12,11,86,48,38,93,1.86,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,0
164,1932,54,202,1,5,51,220,0.0,0.0,0,0,0,0,0,0,0,0,0,21.0,10.0,33,11,6,16,45,59,-14,39,1.18,2
165,1932,89,17,1,0,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
166,1932,89,17,2,2,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1
167,1932,89,213,1,2,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,67.0,1.0,3,0,1,2,0,4,-4,1,0.33,2
168,1932,12,93,8,2,45,11,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,16.0,9.0,32,15,3,14,87,57,30,48,1.5,0
169,1932,194,236,2,1,45,210,5.0,14.0,59,29,12,18,92,66,26,99,1.68,0.0,0.0,0,0,0,0,0,0,0,0,0,0
170,1932,17,213,1,3,45,16,0.0,0.0,0,0,0,0,0,0,0,0,0,67.0,1.0,3,0,1,2,0,4,-4,1,0.33,2
171,1932,71,19,2,5,45,19,7.0,14.0,59,28,12,19,106,71,35,96,1.63,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,2
172,1932,170,236,3,2,45,181,17.0,6.0,26,13,4,9,43,29,14,43,1.65,0.0,0.0,0,0,0,0,0,0,0,0,0,0
173,1932,71,177,1,3,45,74,7.0,14.0,59,28,12,19,106,71,35,96,1.63,30.0,8.0,23,4,7,12,25,41,-16,19,0.83,2
174,1932,101,93,1,1,51,99,3.0,18.0,83,45,21,17,128,77,51,156,1.88,16.0,9.0,32,15,3,14,87,57,30,48,1.5,1
175,1932,148,99,0,2,45,156,8.0,10.0,50,27,12,11,86,48,38,93,1.86,0.0,0.0,0,0,0,0,0,0,0,0,0,2
176,1932,225,8,0,2,45,7,9.0,12.0,51,20,12,19,80,71,9,72,1.41,4.0,16.0,77,42,14,21,131,84,47,140,1.82,2
177,1932,70,201,1,7,45,219,0.0,0.0,0,0,0,0,0,0,0,0,0,10.0,11.0,46,16,13,17,74,69,5,61,1.33,2
178,1932,225,8,1,0,45,241,9.0,12.0,51,20,12,19,80,71,9,72,1.41,4.0,16.0,77,42,14,21,131,84,47,140,1.82,0
179,1932,12,55,1,1,51,57,19.0,7.0,29,12,4,13,43,47,-4,40,1.38,0.0,0.0,0,0,0,0,0,0,0,0,0,1
180,1932,148,55,1,2,45,156,8.0,10.0,50,27,12,11,86,48,38,93,1.86,0.0,0.0,0,0,0,0,0,0,0,0,0,2
181,1932,169,236,3,0,45,254,15.0,7.0,31,15,5,11,44,40,4,50,1.61,0.0,0.0,0,0,0,0,0,0,0,0,0,0
182,1932,66,115,3,0,45,69,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
183,1932,55,19,3,4,45,59,25.0,4.0,16,8,2,6,27,24,3,26,1.63,14.0,12.0,41,14,9,18,52,66,-14,51,1.24,2
